"Speaker","Title/Organization","Session Day","Topic Area","District/Decision-Maker?","Warm Lead Priority","Notes"
"Dr. Pedro Noguera","Dean, USC Rossier School of Education","Wed 3/4 Keynote","Educational equity, school reform","No - university","LOW","Keynote draw, not decision-maker for curriculum adoption"
"Dr. José Medina","Chief Educational Advocate, Dr. José Medina Educational Solutions","Fri 3/6 Keynote","Bilingual education advocacy","No - consultant","MEDIUM","Influential bilingual education voice in CA. Potential evangelist."
"Dr. Alma Flor Ada","Professor Emerita, University of San Francisco","Spotlight","Bilingual literature, children's books","No - university","LOW","Author - complementary space"
"Dr. Cristina Alfaro","AVP International Affairs, San Diego State","Spotlight","DLI implementation, international programs","No - university","MEDIUM","Deep DLI research connections. Could introduce to SDSU partner districts."
"F. Isabel Campoy","Author","Spotlight","Bilingual children's literature","No - author","LOW","Complementary - bilingual content creator"
"Dr. Kathy Escamilla","Professor Emerita, CU Boulder - Equity, Bilingualism & Biliteracy","Spotlight","Biliteracy research, DLI best practices","No - university","MEDIUM","Leading biliteracy researcher. CU Boulder connection useful for CO strategy."
"Erin Gruwell","Founder, Freedom Writers","Spotlight","General education inspiration","No","LOW","General keynote"
"Dr. Laurie Olsen","Strategic Advisor, SEAL","Spotlight","SEAL model, DLI policy, EL Roadmap","No - but deeply connected to SEAL districts","HIGH","SEAL strategic advisor. Knows every major DLI district in CA. If SEAL is partner, she's the intro."
"Francisca Sánchez","CEO & Founder, META/Provocative Practice","Spotlight","Bilingual PD, instructional coaching","No - PD consultant","MEDIUM","PD provider to DLI districts. Potential channel for Explore."
"Miguel Cardona","Former US Secretary of Education","Featured","Federal education policy","No - federal policy","MEDIUM","Prestige. Endorsement value. Not a district buyer."
"Guadalupe Guerrero","Likely SFUSD Superintendent","Featured","District leadership, bilingual programs","YES - district superintendent","HIGH","SFUSD is massive DLI market. If he's still superintendent, direct pitch opportunity."
"Jo Gusman","Known bilingual PD presenter","Featured","ELD strategies, bilingual instruction","No - PD trainer","MEDIUM","Trains teachers in bilingual methods across CA. Influencer."
"Dr. Kate Kinsella","ELD/academic language expert","Featured","Academic language development, ELD","No - consultant/researcher","MEDIUM","Highly influential in CA ELD space. Her recommendations carry weight."
"Dr. Noma LeMoine","Language & equity specialist","Featured","Academic English mastery, equity","No - researcher","LOW","Specialized in language policy"
